wavelength (nm);5_8_2023;5_8_2024;5_8_2025;5_8_2026;5_8_2027;5_8_2028;5_8_2029;5_8_2030;5_8_2031;5_8_2032;12/06/2023;12/06/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;08/05/2023;08/05/2023;22_05_2023;22_05_2024;22_05_2025;22_05_2026;22_05_2027;22_05_2028;22_05_2029;22_05_2030;22_05_2031;22_05_2032;22_05_2033;22_05_2034;22_05_2035;22_05_2036;22_05_2037;22_05_2038;22_05_2039
221;139.841;190.045;167.455;169.253;173.01;181.161;124.865;120.262;175.84;171.569;-0.041;-0.041;30.758;38.93;56.156;45.556;46.477;150.742;178.927;151.306;79.436;11.875;59.849;55.364;34.203;73.149;174.87;192.539;35.876;75.928;153.159;25.734;70.69;44.718;60.424;32.623;19.387;1.064;95.999;43.827;20.691
221.5;137.983;187.383;165.809;167.916;170.899;178.81;123.228;118.759;173.917;169.875;-0.037;-0.037;30.355;38.362;55.001;44.753;45.754;149.048;176.59;149.346;78.944;11.843;59.73;55.247;33.673;72.084;172.642;190.227;35.05;74.921;150.963;24.926;68.447;44.342;59.56;32.174;19.108;1.024;95.168;43.459;20.393
222;136.079;184.762;164.26;166.775;168.619;176.713;121.769;117.451;172.458;168.225;-0.034;-0.034;29.89;37.704;53.914;43.987;45.017;147.31;174.274;147.597;78.556;11.888;59.458;55.209;33.169;71.09;170.374;187.888;34.584;73.737;149.089;23.981;66.367;43.684;58.809;31.81;18.809;0.991;94.257;43.153;20.217
222.5;134.4;182.282;163.156;165.742;166.708;174.623;120.457;116.279;170.65;166.328;-0.029;-0.029;29.434;37.228;52.747;43.216;44.288;145.381;171.887;145.675;78.112;11.884;58.978;55.029;32.912;70.018;167.708;185.197;34.261;72.67;147.14;23.232;64.146;43.277;58.427;31.713;18.643;0.951;93.256;42.796;20.004
223;132.772;180.17;161.879;164.443;164.608;172.309;118.629;114.745;168.774;164.254;-0.03;-0.03;28.943;36.769;51.727;42.519;43.545;143.502;169.87;143.88;77.704;11.787;58.799;54.753;32.559;68.942;165.415;182.513;34.002;71.631;144.91;22.487;61.84;43.031;58.003;31.571;18.4;0.909;92.266;42.222;19.917
223.5;130.914;177.571;160.397;162.979;162.29;169.815;116.917;112.937;166.14;161.581;-0.035;-0.035;28.588;36.059;50.715;41.776;42.706;141.435;167.673;141.771;77.069;11.654;59.002;54.697;32.035;67.964;163.369;180.156;33.518;70.61;143.323;21.392;59.653;42.496;57.101;31.064;18.161;0.873;91.461;41.804;19.549
224;129.08;175.537;158.845;161.674;160.06;167.353;115.207;111.374;163.523;158.806;-0.042;-0.042;28.048;35.347;49.853;41.052;41.95;139.518;165.41;139.772;76.719;11.522;58.945;54.554;31.448;66.975;161.106;177.648;33.008;69.613;141.328;20.353;57.335;42.011;56.425;30.695;17.994;0.839;90.297;41.345;19.292
224.5;127.112;172.917;157.272;159.945;157.898;164.692;113.536;109.742;160.387;155.851;-0.042;-0.042;27.418;34.565;48.95;40.333;41.252;137.669;163.506;137.599;76.273;11.417;58.389;54.29;30.873;66.114;158.823;174.949;32.545;68.602;139.241;19.551;55.028;41.495;55.73;30.258;17.805;0.811;89.307;40.871;19.05
225;125.466;170.521;155.512;158.266;155.762;162.256;111.981;108.049;156.873;152.707;-0.041;-0.041;26.869;33.824;48.028;39.759;40.579;135.676;161.366;135.508;75.821;11.334;57.869;53.937;30.235;65.173;156.678;172.533;32.003;67.636;137.178;18.766;52.907;40.89;54.908;29.754;17.565;0.784;88.358;40.358;18.774
225.5;123.621;167.859;153.675;156.406;153.412;159.864;110.116;106.053;153.391;149.354;-0.037;-0.037;26.377;33.076;47.207;39.085;39.779;133.669;159.107;133.244;75.21;11.092;57.155;53.453;29.71;64.173;154.341;170.022;31.554;66.545;134.897;18.063;50.584;40.171;54.079;29.15;17.306;0.755;87.163;39.722;18.501
