t;Csour;Esol;Rt;A_405;A_450;A_492;A_630;A405;A450;A492;A630;;;;;;;;;;;;;;
30;CSC;N1;80;0.144;0.152;0.16;0.148;0.029;0.058;0.074;0.054;;;;;;;;;;;;;;
30;CHT;N1;10;0.169;0.163;0.17;0.2;0.091;0.085;0.086;0.134;;;;;;;;;;;;;;
30;CHT;N1;20;0.126;0.127;0.132;0.136;0.048;0.049;0.048;0.07;;;;;;;;;;;;;;
30;CHT;N1;30;0.128;0.121;0.127;0.149;0.05;0.043;0.043;0.083;;;;;;;;;;;;;;
30;CHT;N1;40;0.173;0.164;0.164;0.165;0.095;0.086;0.08;0.099;;;;;;;;;;;;;;
30;CHT;N1;50;0.15;0.137;0.147;0.177;0.072;0.059;0.063;0.111;;;;;;;;;;;;;;
30;CHT;N1;60;0.166;0.159;0.16;0.15;0.088;0.081;0.076;0.084;;;;;;;;;;;;;;
30;CHT;N1;70;0.181;0.193;0.199;0.171;0.103;0.115;0.115;0.105;;;;;;;;;;;;;;
30;CHT;N1;80;0.136;0.135;0.139;0.131;0.058;0.057;0.055;0.065;;;;;;;;;;;;;;
30;CT;N1;10;0.267;0.249;0.273;0.276;0.194;0.186;0.211;0.212;;;;;;;;;;;;;;
30;CT;N1;20;0.258;0.239;0.266;0.256;0.185;0.176;0.204;0.192;;;;;;;;;;;;;;
30;CT;N1;30;0.295;0.272;0.317;0.312;0.222;0.209;0.255;0.248;;;;;;;;;;;;;;
30;CT;N1;40;0.323;0.306;0.344;0.324;0.25;0.243;0.282;0.26;;;;;;;;;;;;;;
30;CT;N1;50;0.309;0.289;0.332;0.337;0.236;0.226;0.27;0.273;;;;;;;;;;;;;;
30;CT;N1;60;0.306;0.299;0.328;0.309;0.233;0.236;0.266;0.245;;;;;;;;;;;;;;
30;CT;N1;70;0.334;0.346;0.372;0.341;0.261;0.283;0.31;0.277;;;;;;;;;;;;;;
30;CT;N1;80;0.275;0.28;0.301;0.287;0.202;0.217;0.239;0.223;;;;;;;;;;;;;;
30;CT;N2;10;0.283;0.282;0.292;0.328;0.231;0.241;0.249;0.286;;;;;;;;;;;;;;
30;CT;N2;20;0.295;0.298;0.327;0.334;0.243;0.257;0.284;0.292;;;;;;;;;;;;;;
30;CT;N2;30;0.277;0.277;0.307;0.328;0.225;0.236;0.264;0.286;;;;;;;;;;;;;;
30;CT;N2;40;0.308;0.3;0.327;0.33;0.256;0.259;0.284;0.288;;;;;;;;;;;;;;
